year,month,date,hour,minute,room,key,light
2021,6,22,15,10,207,1,0
2021,6,22,15,10,207,1,0
2021,6,22,15,14,207,1,0
2021,6,22,15,15,207,1,0
2021,6,22,15,42,207,1,0
2021,6,22,15,42,207,1,0
2021,7,2,12,7,207,1,0
2021,7,2,12,8,207,1,0
2021,7,2,12,8,207,1,0
2021,7,2,12,41,207,1,0
2021,7,2,12,41,207,0,0
2021,7,2,12,44,207,0,0
2021,7,2,12,45,207,1,1
2021,7,2,12,45,207,1,1
2021,7,2,12,48,207,1,1
2021,7,2,12,50,207,1,1
2021,7,2,12,51,207,1,1
2021,7,2,12,51,207,1,1
2021,7,2,12,54,207,1,1
2021,7,2,12,56,207,0,0
2021,7,2,12,56,207,0,0
2021,7,2,12,56,207,0,0
2021,7,2,12,56,207,0,0
2021,7,2,12,56,207,0,0
2021,7,2,12,56,207,0,0
2021,7,2,12,56,207,0,0
2021,7,2,12,57,207,0,0
2021,7,2,12,57,207,0,0
2021,7,2,12,57,207,0,0
2021,7,2,12,57,207,0,0
2021,7,2,12,57,207,0,0
2021,7,2,12,57,207,0,0
2021,7,2,12,57,207,1,0
2021,7,2,12,57,207,1,1
2021,7,2,12,57,207,0,1
2021,7,2,12,57,207,1,1
2021,7,2,12,57,207,0,1
2021,7,2,12,57,207,1,1
2021,7,2,12,57,207,1,1
2021,7,2,12,57,207,0,1
2021,7,2,12,57,207,1,1
2021,7,2,12,57,207,1,1
2021,7,2,12,57,207,1,1
2021,7,2,12,58,205,0,1
2021,7,2,12,58,205,0,1
2021,7,2,12,58,205,0,0
2021,7,2,12,58,205,0,1
2021,7,2,12,59,205,0,1
2021,7,2,12,59,205,0,0
2021,7,2,12,59,205,0,0
2021,7,2,12,59,205,1,0
2021,7,2,12,59,205,0,0
2021,7,2,12,59,205,0,0
2021,7,2,12,59,205,1,0
2021,7,2,12,59,205,1,0
2021,7,2,12,59,205,1,1
2021,7,2,12,59,205,1,1
2021,7,2,12,59,205,1,1
2021,7,2,12,59,205,1,0
2021,7,2,12,59,205,1,0
2021,7,2,12,59,205,1,1
2021,7,2,12,59,205,0,0
2021,7,2,12,59,205,0,1
2021,7,2,12,59,205,1,1
2021,7,2,12,59,205,0,1
2021,7,2,12,59,205,0,0
2021,7,2,12,59,205,1,0
2021,7,2,12,59,205,0,1
2021,7,2,12,59,205,1,1
2021,7,2,12,59,205,0,1
2021,7,2,12,59,205,1,1
2021,7,2,12,59,205,1,1
2021,7,2,12,59,205,0,1
2021,7,2,12,59,205,0,1
2021,7,2,12,59,205,0,0
2021,7,2,12,59,205,0,1
2021,7,2,12,59,205,0,1
2021,7,2,12,59,205,0,0
2021,7,2,12,59,205,0,0
2021,7,2,12,59,205,1,1
2021,7,2,12,59,205,1,1
2021,7,2,12,59,205,1,0
2021,7,2,12,59,205,0,1
2021,7,2,12,59,205,1,0
2021,7,2,12,59,205,0,1
2021,7,2,12,59,205,1,0
2021,7,2,12,59,205,0,1
2021,7,2,12,59,205,0,0
2021,7,2,12,59,205,0,0
2021,7,2,12,59,205,0,0
2021,7,2,12,59,205,1,0
2021,7,2,12,59,205,1,0
2021,7,2,12,59,205,0,0
2021,7,2,13,3,205,0,1
2021,7,2,13,3,205,1,0
2021,7,2,13,3,205,0,0
